iter	RMSE
0	172280.4187
1	166287.9942
2	160756.9494
3	155336.4357
4	150150.2022
5	145238.5886
6	140540.4294
7	136108.3037
8	131787.9585
9	127714.6357
10	123844.4482
11	120204.6503
12	116742
13	113433.3809
14	110147.7365
15	107092.8982
16	104194.7769
17	101525.4165
18	98832.37384
19	96378.06867
20	93991.78138
21	91801.97841
22	89624.32351
23	87606.03418
24	85513.60622
25	83542.39629
26	81644.00762
27	79916.18798
28	78258.62615
29	76567.64563
30	75017.58966
31	73396.60548
32	71949.35299
33	70524.64725
34	69233.59276
35	67974.38436
36	66780.25632
37	65600.33764
38	64536.44064
39	63542.03704
40	62539.20929
41	61629.4895
42	60679.03329
43	59778.07669
44	58964.94508
45	58150.53028
46	57387.57284
47	56660.67402
48	55976.58905
49	55335.96518
50	54717.41738
51	54143.83086
52	53604.80528
53	53107.01062
54	52601.63135
55	52173.99854
56	51729.65169
57	51311.04246
58	50812.88953
59	50355.19247
60	49936.9593
61	49551.64671
62	49148.83693
63	48844.02897
64	48509.1049
65	48215.29241
66	47887.77344
67	47631.35692
68	47376.91573
69	47082.90395
70	46838.65106
71	46621.93387
72	46378.99448
73	46061.22081
74	45789.16243
75	45569.06153
76	45331.84726
77	45129.60337
78	44964.05863
79	44786.54292
80	44600.07754
81	44392.34952
82	44219.95174
83	43928.59696
84	43734.04144
85	43543.52311
86	43390.21149
87	43216.04271
88	43068.14539
89	42946.67924
90	42817.96463
91	42702.53931
92	42604.87572
93	42455.06801
94	42345.87355
95	42208.79427
96	42110.31
97	41981.90552
98	41886.02556
99	41792.64802
100	41577.7978
101	41391.81534
102	41223.6298
103	41143.87091
104	41003.16674
105	40908.79193
106	40843.48802
107	40750.98411
108	40670.86491
109	40609.87445
110	40551.04162
111	40432.12408
112	40310.33226
113	40180.59153
114	40117.15276
115	40058.41906
116	39999.21874
117	39857.76754
118	39786.67532
119	39701.35726
120	39622.23444
121	39562.17215
122	39449.32813
123	39332.63166
124	39240.02609
125	39147.11177
126	39082.98122
127	39006.93654
128	38951.90342
129	38889.22999
130	38842.78142
131	38787.96015
132	38726.55186
133	38601.43038
134	38552.69757
