iter	Passed	Remaining
0	282	705890
1	530	662459
2	768	640040
3	1024	639353
4	1256	626757
5	1509	627621
6	1741	620270
7	1931	601780
8	2166	599627
9	2401	598018
10	2685	607662
11	2928	607221
12	3154	603515
13	3382	600584
14	3610	598077
15	3842	596502
16	4089	597373
17	4335	597779
18	4534	592118
19	4815	597140
20	5050	596226
21	5312	598344
22	5536	596295
23	5751	593393
24	5998	593860
25	6266	596309
26	6509	596245
27	6774	598122
28	6993	595856
29	7225	594859
30	7463	594466
31	7714	594967
32	7943	593863
33	8177	593143
34	8428	593592
35	8679	594038
36	8875	590805
37	9084	588562
38	9335	589080
39	9559	587888
40	9783	586780
41	9988	584565
42	10240	585128
43	10484	585206
44	10703	583926
45	10937	583472
46	11171	583082
47	11416	583167
48	11606	580577
49	11813	578850
50	12024	577420
51	12250	576700
52	12510	577611
53	12695	575080
54	12928	574716
55	13147	573790
56	13381	573546
57	13616	573313
58	13889	574655
59	14126	574472
60	14394	575524
61	14640	575687
62	14847	574345
63	15085	574209
64	15327	574177
65	15544	573275
66	15799	573734
67	16073	574863
68	16310	574651
69	16555	574699
70	16804	574900
71	17077	575895
72	17346	576718
73	17611	577387
74	17838	576793
75	18084	576803
76	18345	577301
77	18621	578233
78	18862	578066
79	19118	578341
80	19346	577759
81	19624	578680
82	19945	580831
83	20229	581834
84	20477	581794
85	20761	582773
86	21017	582921
87	21276	583179
88	21535	583381
89	21776	583134
90	22018	582874
91	22329	584461
92	22584	584531
93	22847	584801
94	23111	585091
95	23364	585081
96	23632	585449
97	23884	585406
98	24127	585141
99	24397	585528
100	24688	586424
101	24915	585759
102	25174	585864
103	25424	585732
104	25699	586196
105	25950	586081
106	26194	585834
107	26441	585631
108	26696	585606
109	26971	586009
110	27259	586700
111	27491	586166
112	27754	586279
113	28013	586316
114	28283	586575
115	28530	586358
116	28797	586530
117	29082	587071
118	29367	587596
119	29662	588316
120	29942	588696
121	30209	588841
122	30459	588637
123	30717	588577
124	30980	588623
125	31239	588592
126	31485	588312
127	31717	587765
128	31975	587700
129	32229	587576
130	32483	587431
131	32736	587265
132	32990	587127
133	33243	586978
134	33477	586482
135	33742	586531
136	33980	586099
137	34239	586035
138	34509	586158
139	34754	585866
140	35007	585695
141	35226	584962
142	35462	584511
143	35722	584466
144	35975	584290
145	36213	583883
146	36458	583590
147	36686	583023
148	36969	583322
149	37214	583023
150	37460	582744
151	37755	583219
152	38003	582961
153	38273	583051
154	38536	583017
155	38794	582907
156	39053	582821
157	39288	582370
158	39564	582516
159	39830	582527
160	40097	582527
161	40357	582449
162	40610	582249
163	40875	582229
164	41135	582126
165	41402	582124
166	41674	582200
167	41959	582441
168	42229	582473
169	42478	582203
170	42701	581589
171	42909	580772
172	43311	582572
173	43706	584260
174	44180	586972
175	44645	589527
176	44784	587771
177	45233	590068
178	45760	593355
179	46225	595789
180	46724	598636
181	47171	600784
182	47692	603850
183	48141	605955
184	48670	609044
185	49146	611419
186	49643	614037
187	50157	616828
188	50713	620101
189	51238	622950
190	51804	626262
191	52366	629493
192	52895	632276
193	53399	634735
194	53928	637466
195	54408	639580
196	54875	641509
197	55313	643085
198	55797	645179
199	56300	647459
200	56793	649596
201	57333	652236
202	57923	655423
203	58396	657244
204	58883	659203
205	59437	661889
206	59985	664480
207	60438	665983
208	60933	667931
209	61420	669776
210	61978	672362
211	62460	674100
212	62820	674514
213	63111	674168
214	63361	673397
215	63624	672765
216	63877	672034
217	64126	671273
218	64416	670928
219	64659	670105
220	64931	669586
221	65148	668509
222	65395	667742
223	65683	667386
224	65933	666656
225	66166	665758
226	66398	664860
227	66671	664376
228	67033	664776
229	67303	664260
230	67603	664037
231	67818	662979
232	68134	662918
233	68455	662906
234	68800	663119
235	69070	662611
236	69387	662552
237	69669	662156
238	69919	661460
239	70168	660754
240	70429	660162
241	70699	659669
242	70945	658944
