year_month,All Items,Food,Clothing & Footwear,Housing & Utilities,Household Durables & Services,Health Care,Transport,Communication,Recreation & Culture,Education,Personal Care,Alcoholic Drinks & Tobacco,Public Transport
2000-Apr,74.146,68.014,91.997,73.551,84.022,62.011,76.814,111.721,85.445,54.158,90.432,47.598,75.5
2000-Aug,74.769,68.073,91.952,76.003,83.994,62.764,77.589,108.226,85.453,55.711,90.733,47.591,78.486
2000-Dec,75.135,68.048,92.485,76.418,83.798,63.396,77.573,107.81,87.748,55.812,92.591,48.344,78.486
2000-Feb,74.294,69.193,90.925,73.447,84.06,62.015,76.437,112.039,85.15,53.975,90.715,44.772,75.466
2000-Jan,73.942,68.392,90.838,73.448,84.002,61.935,75.869,111.918,84.964,53.972,90.711,44.784,75.466
2000-Jul,74.378,67.931,90.802,74.686,84.004,62.485,77.322,108.439,85.386,55.711,90.499,47.582,78.486
2000-Jun,73.999,68.055,88.732,73.877,83.742,62.433,76.557,108.491,85.614,54.647,90.056,47.582,77.426
2000-Mar,74.039,68.093,92.267,73.489,84.003,61.99,76.211,112.01,84.797,53.985,91.134,47.555,75.5
2000-May,73.878,68.015,90.572,73.877,84.075,62.335,75.472,108.736,84.795,54.643,90.317,47.573,75.5
2000-Nov,75.009,67.865,93.303,76.351,83.816,63.172,77.321,108.161,87.25,55.812,92.045,48.341,78.486
2000-Oct,74.844,67.77,92.764,76.287,83.839,63.108,78.045,108.179,85.41,55.774,90.662,48.368,78.486
2000-Sep,74.787,67.764,93.382,76.068,83.804,62.765,78.13,108.179,85.228,55.711,90.685,48.416,78.486
2001-Apr,75.611,68.418,93.422,77.367,83.7,64.161,77.155,107.187,88.057,56.588,92.345,52.514,78.603
2001-Aug,75.299,68.448,91.994,75.965,83.569,64.547,76.479,106.614,88.112,57.877,93.523,52.466,79.423
2001-Dec,74.693,67.998,91.601,75.335,83.287,64.686,74.18,106.376,88.285,57.905,93.045,52.168,79.423
2001-Feb,75.27,68.677,91.785,77.368,83.713,63.833,76.424,107.42,86.695,56.218,92.774,48.404,78.603
2001-Jan,75.413,69.472,91.173,76.634,83.81,63.833,76.683,107.42,87.038,56.185,92.603,48.298,78.603
2001-Jul,75.343,68.417,92.985,75.966,83.615,64.566,76.406,107.111,88.138,57.852,93.433,52.527,79.423
2001-Jun,74.894,68.408,88.614,75.985,83.37,64.44,75.002,107.203,88.499,56.578,92.554,52.492,78.603
2001-Mar,75.404,68.3,93.429,77.367,83.731,63.855,77.094,107.187,86.539,56.227,92.935,52.528,78.603
2001-May,75.307,68.493,92.668,75.984,83.604,64.308,76.837,107.235,88.157,56.578,92.463,52.518,78.603
