year,course,enrolment_F,enrolment_MF,graduates_F,graduates_MF,intake_F,intake_MF,intake_rate_F,intake_rate_MF,intake_men,enrolment_men,graduates_men,intake_rate_men
2005,Accountancy,1732,2561,495,706,530.0,876.0,30.600461893764436,34.20538852010933,346.0,829,211,41.73703256936068
2005,"Architecture, Building & Real Estate",786,1310,106,180,175.0,299.0,22.264631043256998,22.82442748091603,124.0,524,74,23.66412213740458
2005,Business & Administration,3098,5013,898,1256,901.0,1545.0,29.08327953518399,30.819868342309995,644.0,1915,358,33.62924281984334
2005,Dentistry,67,139,12,34,19.0,33.0,28.35820895522388,23.741007194244606,14.0,72,22,19.444444444444443
2005,Education,0,0,0,0,0.0,0.0,,,0.0,0,0,
2005,Engineering Sciences,4868,16599,1200,3859,1170.0,4028.0,24.034511092851275,24.26652207964335,2858.0,11731,2659,24.36279942033927
2005,Fine & Applied Arts,212,355,11,22,103.0,163.0,48.58490566037736,45.91549295774648,60.0,143,11,41.95804195804196
2005,Health Sciences,352,433,69,85,149.0,176.0,42.32954545454545,40.646651270207855,27.0,81,16,33.333333333333336
2005,Humanities & Social Sciences,4799,6743,1249,1650,1644.0,2233.0,34.25713690352157,33.115823817292004,589.0,1944,401,30.29835390946502
2005,Information Technology,765,2356,200,562,280.0,773.0,36.60130718954248,32.80984719864177,493.0,1591,362,30.986800754242616
2005,Law,498,844,125,187,125.0,220.0,25.100401606425702,26.066350710900473,95.0,346,62,27.45664739884393
2005,Mass Communication,507,644,110,146,130.0,172.0,25.641025641025642,26.70807453416149,42.0,137,36,30.656934306569344
2005,Medicine,479,1169,86,209,103.0,233.0,21.50313152400835,19.931565440547477,130.0,690,123,18.840579710144926
2005,"Natural, Physical & Mathematical Sciences",3416,5389,769,1135,1004.0,1701.0,29.39110070257611,31.564297643347558,697.0,1973,366,35.32691332995439
2005,Services,80,108,0,0,38.0,56.0,47.5,51.851851851851855,18.0,28,0,64.28571428571429
2006,Accountancy,1819,2844,468,644,557.0,934.0,30.621220450797143,32.84106891701828,377.0,1025,176,36.78048780487805
2006,"Architecture, Building & Real Estate",810,1336,193,329,226.0,379.0,27.901234567901234,28.368263473053894,153.0,526,136,29.08745247148289
2006,Business & Administration,3297,5490,818,1250,1035.0,1772.0,31.392174704276616,32.27686703096539,737.0,2193,432,33.60693114455084
2006,Dentistry,78,148,14,32,26.0,42.0,33.333333333333336,28.37837837837838,16.0,70,18,22.857142857142858
2006,Education,0,0,0,0,0.0,0.0,,,0.0,0,0,
2006,Engineering Sciences,4694,16663,1137,3811,1025.0,4101.0,21.836386876864083,24.61141451119246,3076.0,11969,2674,25.699724287743337
2006,Fine & Applied Arts,334,557,13,24,137.0,233.0,41.01796407185629,41.83123877917415,96.0,223,11,43.04932735426009
2006,Health Sciences,489,583,57,81,201.0,240.0,41.104294478527606,41.1663807890223,39.0,94,24,41.48936170212766
2006,Humanities & Social Sciences,5282,7532,1298,1758,1813.0,2573.0,34.3241196516471,34.160913436006375,760.0,2250,460,33.77777777777778
2006,Information Technology,796,2505,139,540,185.0,728.0,23.241206030150753,29.06187624750499,543.0,1709,401,31.772966647162082
2006,Law,463,872,134,204,102.0,238.0,22.03023758099352,27.293577981651374,136.0,409,70,33.251833740831295
2006,Mass Communication,555,685,108,141,153.0,180.0,27.56756756756757,26.277372262773724,27.0,130,33,20.76923076923077
2006,Medicine,503,1188,94,229,119.0,251.0,23.658051689860834,21.127946127946128,132.0,685,135,19.27007299270073
2006,"Natural, Physical & Mathematical Sciences",3755,5899,955,1384,1348.0,1994.0,35.89880159786951,33.80233937955586,646.0,2144,429,30.130597014925375
2006,Services,117,177,0,0,36.0,68.0,30.76923076923077,38.4180790960452,32.0,60,0,53.333333333333336
2007,Accountancy,1914,3074,574,834,625.0,1000.0,32.65412748171369,32.53090435914118,375.0,1160,260,32.327586206896555
2007,"Architecture, Building & Real Estate",934,1479,177,288,313.0,453.0,33.5117773019272,30.628803245436107,140.0,545,111,25.68807339449541
2007,Business & Administration,3363,5675,893,1384,1069.0,1733.0,31.787094855783526,30.537444933920703,664.0,2312,491,28.719723183391004
2007,Dentistry,89,154,15,36,26.0,42.0,29.213483146067414,27.272727272727273,16.0,65,21,24.615384615384617
2007,Education,0,0,0,0,0.0,0.0,,,0.0,0,0,
2007,Engineering Sciences,4553,16042,1258,4366,1192.0,4064.0,26.18054030309686,25.333499563645432,2872.0,11489,3108,24.997824005570546
2007,Fine & Applied Arts,429,711,41,69,147.0,242.0,34.26573426573427,34.036568213783404,95.0,282,28,33.687943262411345
2007,Health Sciences,617,745,67,86,207.0,259.0,33.54943273905997,34.76510067114094,52.0,128,19,40.625
2007,Humanities & Social Sciences,6176,8667,1123,1607,2056.0,2812.0,33.29015544041451,32.444905965155186,756.0,2491,484,30.34925732637495
2007,Information Technology,824,2660,206,573,249.0,776.0,30.218446601941746,29.172932330827066,527.0,1836,367,28.703703703703702
2007,Law,547,1004,123,207,208.0,332.0,38.02559414990859,33.06772908366534,124.0,457,84,27.133479212253828
2007,Mass Communication,546,693,141,169,136.0,182.0,24.90842490842491,26.262626262626263,46.0,147,28,31.292517006802722
2007,Medicine,536,1207,83,227,116.0,250.0,21.64179104477612,20.712510356255176,134.0,671,144,19.970193740685545
2007,"Natural, Physical & Mathematical Sciences",4232,6605,869,1325,1415.0,2137.0,33.43572778827977,32.35427706283119,722.0,2373,456,30.425621576064053
2007,Services,163,246,0,0,48.0,71.0,29.447852760736197,28.86178861788618,23.0,83,0,27.710843373493976
2008,Accountancy,1910,3139,536,831,638.0,1055.0,33.403141361256544,33.60942975469895,417.0,1229,295,33.9300244100895
2008,"Architecture, Building & Real Estate",952,1530,232,368,272.0,452.0,28.571428571428573,29.54248366013072,180.0,578,136,31.141868512110726
2008,Business & Administration,3423,5848,959,1462,943.0,1536.0,27.54893368390301,26.265389876880985,593.0,2425,503,24.45360824742268
2008,Dentistry,93,163,17,35,21.0,44.0,22.580645161290324,26.993865030674847,23.0,70,18,32.857142857142854
2008,Education,0,0,0,0,0.0,0.0,,,0.0,0,0,
2008,Engineering Sciences,4102,14368,1254,3887,1064.0,3598.0,25.938566552901023,25.04175946547884,2534.0,10266,2633,24.683421001363726
2008,Fine & Applied Arts,503,845,50,81,129.0,236.0,25.646123260437374,27.928994082840237,107.0,342,31,31.28654970760234
2008,Health Sciences,712,888,77,87,185.0,247.0,25.98314606741573,27.815315315315317,62.0,176,10,35.22727272727273
2008,Humanities & Social Sciences,6783,9609,1312,1817,1971.0,2823.0,29.05793896505971,29.378707461754605,852.0,2826,505,30.148619957537154
2008,Information Technology,1021,3781,275,900,307.0,1033.0,30.068560235063664,27.32081459931235,726.0,2760,625,26.304347826086957
2008,Law,649,1143,115,209,221.0,356.0,34.05238828967642,31.146106736657917,135.0,494,94,27.327935222672064
2008,Mass Communication,543,688,132,164,133.0,169.0,24.49355432780847,24.563953488372093,36.0,145,32,24.82758620689655
2008,Medicine,566,1236,96,227,127.0,260.0,22.43816254416961,21.035598705501616,133.0,670,131,19.850746268656717
2008,"Natural, Physical & Mathematical Sciences",4651,7413,856,1347,1333.0,2261.0,28.660503117609117,30.500472143531635,928.0,2762,491,33.598841419261404
2008,Services,157,253,43,57,36.0,65.0,22.929936305732483,25.691699604743082,29.0,96,14,30.208333333333332
2009,Accountancy,2059,3471,595,937,663.0,1142.0,32.200097134531326,32.90118121578796,479.0,1412,342,33.92351274787536
2009,"Architecture, Building & Real Estate",1027,1659,163,283,254.0,434.0,24.732229795520936,26.160337552742615,180.0,632,120,28.481012658227847
2009,Business & Administration,3270,5709,855,1482,824.0,1519.0,25.198776758409785,26.607111578209842,695.0,2439,627,28.495284952849527
2009,Dentistry,103,180,19,31,29.0,48.0,28.155339805825243,26.666666666666668,19.0,77,12,24.675324675324674
2009,Education,0,0,0,0,0.0,0.0,,,0.0,0,0,
2009,Engineering Sciences,4218,14522,1117,3870,1278.0,4199.0,30.298719772403985,28.91475003443052,2921.0,10304,2753,28.348214285714285
2009,Fine & Applied Arts,548,957,88,135,148.0,269.0,27.00729927007299,28.108672936259143,121.0,409,47,29.584352078239608
2009,Health Sciences,800,1042,107,129,204.0,295.0,25.5,28.310940499040306,91.0,242,22,37.603305785123965
2009,Humanities & Social Sciences,7272,10434,1606,2179,2138.0,3082.0,29.4004400440044,29.538048686984858,944.0,3162,573,29.85452245414295
2009,Information Technology,1132,3975,175,616,320.0,991.0,28.268551236749115,24.930817610062892,671.0,2843,441,23.60182905381639
2009,Law,711,1321,118,207,186.0,383.0,26.160337552742615,28.99318697956094,197.0,610,89,32.295081967213115
2009,Mass Communication,516,692,128,164,102.0,168.0,19.767441860465116,24.277456647398843,66.0,176,36,37.5
2009,Medicine,596,1278,97,219,126.0,260.0,21.140939597315437,20.344287949921753,134.0,682,122,19.64809384164223
2009,"Natural, Physical & Mathematical Sciences",4932,8076,1040,1646,1382.0,2413.0,28.02108678021087,29.878652798415057,1031.0,3144,606,32.79262086513995
