year,institution,enrolment,intake,intake_rate
1982,ite,10303.0,8623.0,83.69406968844027
1982,lasalle_degree,,,
1982,lasalle_diploma,,,
1982,nafa_degree,,,
1982,nafa_diploma,,,
1982,nanyang_polytechnic,,,
1982,ngee_ann_polytechnic,3660.0,1614.0,44.09836065573771
1982,nie,1000.0,888.0,88.8
1982,ntu,582.0,582.0,100.0
1982,nus,11093.0,3937.0,35.49085008563959
1982,republic_polytechnic,,,
1982,singapore_polytechnic,5339.0,2095.0,39.23955796965724
1982,sit,,,
1982,smu,,,
1982,suss,,,
1982,sutd,,,
1982,temasek_polytechnic,,,
1983,ite,10664.0,8881.0,83.2801950487622
1983,lasalle_degree,,,
1983,lasalle_diploma,,,
1983,nafa_degree,,,
1983,nafa_diploma,,,
1983,nanyang_polytechnic,,,
1983,ngee_ann_polytechnic,4825.0,2250.0,46.63212435233161
1983,nie,1078.0,678.0,62.894248608534326
1983,ntu,1267.0,702.0,55.406471981057614
1983,nus,11939.0,4161.0,34.85216517296256
1983,republic_polytechnic,,,
1983,singapore_polytechnic,6136.0,2597.0,42.32398956975228
1983,sit,,,
1983,smu,,,
1983,suss,,,
1983,sutd,,,
1983,temasek_polytechnic,,,
1984,ite,9419.0,6426.0,68.22380295148105
1984,lasalle_degree,,,
1984,lasalle_diploma,,,
1984,nafa_degree,,,
1984,nafa_diploma,,,
1984,nanyang_polytechnic,,,
1984,ngee_ann_polytechnic,6919.0,3405.0,49.21231391819627
1984,nie,776.0,595.0,76.67525773195877
1984,ntu,1945.0,690.0,35.47557840616967
1984,nus,12721.0,4441.0,34.91077745460262
1984,republic_polytechnic,,,
1984,singapore_polytechnic,7129.0,2993.0,41.98344788890447
1984,sit,,,
1984,smu,,,
1984,suss,,,
1984,sutd,,,
1984,temasek_polytechnic,,,
1985,ite,13890.0,11891.0,85.60835133189345
1985,lasalle_degree,,,
1985,lasalle_diploma,,,
1985,nafa_degree,,,
1985,nafa_diploma,,,
1985,nanyang_polytechnic,,,
1985,ngee_ann_polytechnic,8516.0,3912.0,45.937059652418974
1985,nie,1166.0,945.0,81.04631217838765
1985,ntu,2078.0,708.0,34.07122232916266
1985,nus,13617.0,4654.0,34.17786590291547
1985,republic_polytechnic,,,
1985,singapore_polytechnic,7894.0,3021.0,38.269571826703825
1985,sit,,,
1985,smu,,,
1985,suss,,,
1985,sutd,,,
1985,temasek_polytechnic,,,
1986,ite,14666.0,11171.0,76.16937133506069
1986,lasalle_degree,,,
1986,lasalle_diploma,,,
1986,nafa_degree,,,
1986,nafa_diploma,,,
