year,month,year_month,med_income_incl_empcpf,index
2001,Jun,2001-Jun,2387.0,52.312075388998466
2001,Jul,2001-Jul,2386.4166666666665,52.2992914018555
2001,Aug,2001-Aug,2385.8333333333335,52.286507414712545
2001,Sep,2001-Sep,2385.25,52.273723427569585
2001,Oct,2001-Oct,2384.6666666666665,52.26093944042661
2001,Nov,2001-Nov,2384.0833333333335,52.248155453283665
2001,Dec,2001-Dec,2383.5,52.2353714661407
2002,Jan,2002-Jan,2382.9166666666665,52.22258747899773
2002,Feb,2002-Feb,2382.3333333333335,52.20980349185478
2002,Mar,2002-Mar,2381.75,52.19701950471182
2002,Apr,2002-Apr,2381.1666666666665,52.184235517568844
2002,May,2002-May,2380.5833333333335,52.17145153042589
2002,Jun,2002-Jun,2380.0,52.15866754328293
2002,Jul,2002-Jul,2382.5,52.21345605960991
2002,Aug,2002-Aug,2385.0,52.26824457593688
2002,Sep,2002-Sep,2387.5,52.32303309226386
2002,Oct,2002-Oct,2390.0,52.377821608590835
2002,Nov,2002-Nov,2392.5,52.43261012491782
2002,Dec,2002-Dec,2395.0,52.487398641244795
2003,Jan,2003-Jan,2397.5,52.542187157571774
2003,Feb,2003-Feb,2400.0,52.59697567389875
2003,Mar,2003-Mar,2402.5,52.65176419022573
2003,Apr,2003-Apr,2405.0,52.70655270655271
2003,May,2003-May,2407.5,52.761341222879686
2003,Jun,2003-Jun,2410.0,52.816129739206666
2003,Jul,2003-Jul,2403.0,52.662721893491124
2003,Aug,2003-Aug,2396.0,52.50931404777559
2003,Sep,2003-Sep,2389.0,52.35590620206004
2003,Oct,2003-Oct,2382.0,52.202498356344506
2003,Nov,2003-Nov,2375.0,52.04909051062897
2003,Dec,2003-Dec,2368.0,51.89568266491344
2004,Jan,2004-Jan,2361.0,51.742274819197895
2004,Feb,2004-Feb,2354.0,51.58886697348236
2004,Mar,2004-Mar,2347.0,51.435459127766826
2004,Apr,2004-Apr,2340.0,51.28205128205128
2004,May,2004-May,2333.0,51.12864343633574
2004,Jun,2004-Jun,2326.0,50.9752355906202
2004,Jul,2004-Jul,2331.125,51.08755204909051
2004,Aug,2004-Aug,2336.25,51.19986850756082
2004,Sep,2004-Sep,2341.375,51.31218496603112
2004,Oct,2004-Oct,2346.5,51.42450142450142
2004,Nov,2004-Nov,2351.625,51.53681788297173
2004,Dec,2004-Dec,2356.75,51.649134341442036
2005,Jan,2005-Jan,2361.875,51.76145079991233
2005,Feb,2005-Feb,2367.0,51.87376725838264
2005,Mar,2005-Mar,2372.125,51.986083716852946
2005,Apr,2005-Apr,2377.25,52.098400175323256
2005,May,2005-May,2382.375,52.21071663379355
2005,Jun,2005-Jun,2387.5,52.32303309226386
2005,Jul,2005-Jul,2392.625,52.435349550734166
2005,Aug,2005-Aug,2397.75,52.54766600920448
2005,Sep,2005-Sep,2402.875,52.65998246767477
2005,Oct,2005-Oct,2408.0,52.772298926145076
2005,Nov,2005-Nov,2413.125,52.88461538461539
2005,Dec,2005-Dec,2418.25,52.99693184308569
2006,Jan,2006-Jan,2423.375,53.109248301555986
2006,Feb,2006-Feb,2428.5,53.2215647600263
2006,Mar,2006-Mar,2433.625,53.3338812184966
2006,Apr,2006-Apr,2438.75,53.44619767696691
2006,May,2006-May,2443.875,53.55851413543721
2006,Jun,2006-Jun,2449.0,53.67083059390752
2006,Jul,2006-Jul,2456.8333333333335,53.842501278398714
2006,Aug,2006-Aug,2464.6666666666665,54.01417196288991
2006,Sep,2006-Sep,2472.5,54.18584264738111
2006,Oct,2006-Oct,2480.3333333333335,54.35751333187231
2006,Nov,2006-Nov,2488.1666666666665,54.529184016363494
2006,Dec,2006-Dec,2496.0,54.700854700854705
2007,Jan,2007-Jan,2503.8333333333335,54.8725253853459
2007,Feb,2007-Feb,2511.6666666666665,55.04419606983709
2007,Mar,2007-Mar,2519.5,55.21586675432829
2007,Apr,2007-Apr,2527.3333333333335,55.38753743881949
2007,May,2007-May,2535.1666666666665,55.55920812331069
2007,Jun,2007-Jun,2543.0,55.730878807801886
2007,Jul,2007-Jul,2572.5,56.377383300460224
2007,Aug,2007-Aug,2602.0,57.02388779311857
2007,Sep,2007-Sep,2631.5,57.670392285776906
2007,Oct,2007-Oct,2661.0,58.31689677843524
2007,Nov,2007-Nov,2690.5,58.96340127109357
2007,Dec,2007-Dec,2720.0,59.60990576375191
2008,Jan,2008-Jan,2749.5,60.256410256410255
2008,Feb,2008-Feb,2779.0,60.90291474906859
2008,Mar,2008-Mar,2808.5,61.54941924172693
2008,Apr,2008-Apr,2838.0,62.195923734385275
2008,May,2008-May,2867.5,62.84242822704361
2008,Jun,2008-Jun,2897.0,63.48893271970195
2008,Jul,2008-Jul,2899.5,63.54372123602893
2008,Aug,2008-Aug,2902.0,63.5985097523559
2008,Sep,2008-Sep,2904.5,63.65329826868288
2008,Oct,2008-Oct,2907.0,63.70808678500987
2008,Nov,2008-Nov,2909.5,63.76287530133684
2008,Dec,2008-Dec,2912.0,63.817663817663814
2009,Jan,2009-Jan,2914.5,63.87245233399079
2009,Feb,2009-Feb,2917.0,63.927240850317766
2009,Mar,2009-Mar,2919.5,63.98202936664475
2009,Apr,2009-Apr,2922.0,64.03681788297173
2009,May,2009-May,2924.5,64.09160639929871
2009,Jun,2009-Jun,2927.0,64.14639491562568
2009,Jul,2009-Jul,2933.0833333333335,64.279713638688
2009,Aug,2009-Aug,2939.1666666666665,64.41303236175031
2009,Sep,2009-Sep,2945.25,64.54635108481263
2009,Oct,2009-Oct,2951.3333333333335,64.67966980787494
2009,Nov,2009-Nov,2957.4166666666665,64.81298853093725
2009,Dec,2009-Dec,2963.5,64.94630725399956
2010,Jan,2010-Jan,2969.5833333333335,65.07962597706187
2010,Feb,2010-Feb,2975.6666666666665,65.21294470012418
2010,Mar,2010-Mar,2981.75,65.3462634231865
2010,Apr,2010-Apr,2987.8333333333335,65.47958214624882
2010,May,2010-May,2993.9166666666665,65.61290086931112
2010,Jun,2010-Jun,3000.0,65.74621959237344
2010,Jul,2010-Jul,3020.75,66.20096427788735
2010,Aug,2010-Aug,3041.5,66.65570896340127
2010,Sep,2010-Sep,3062.25,67.1104536489152
2010,Oct,2010-Oct,3083.0,67.5651983344291
2010,Nov,2010-Nov,3103.75,68.01994301994301
2010,Dec,2010-Dec,3124.5,68.47468770545694
2011,Jan,2011-Jan,3145.25,68.92943239097086
2011,Feb,2011-Feb,3166.0,69.38417707648476
2011,Mar,2011-Mar,3186.75,69.83892176199869
2011,Apr,2011-Apr,3207.5,70.2936664475126
2011,May,2011-May,3228.25,70.74841113302652
2011,Jun,2011-Jun,3249.0,71.20315581854044
2011,Jul,2011-Jul,3268.25,71.62502739425817
2011,Aug,2011-Aug,3287.5,72.0468989699759
2011,Sep,2011-Sep,3306.75,72.46877054569362
2011,Oct,2011-Oct,3326.0,72.89064212141135
2011,Nov,2011-Nov,3345.25,73.31251369712908
2011,Dec,2011-Dec,3364.5,73.73438527284681
2012,Jan,2012-Jan,3383.75,74.15625684856454
2012,Feb,2012-Feb,3403.0,74.57812842428227
2012,Mar,2012-Mar,3422.25,75.0
2012,Apr,2012-Apr,3441.5,75.42187157571773
2012,May,2012-May,3460.75,75.84374315143546
2012,Jun,2012-Jun,3480.0,76.26561472715319
2012,Jul,2012-Jul,3498.75,76.67652859960552
2012,Aug,2012-Aug,3517.5,77.08744247205786
2012,Sep,2012-Sep,3536.25,77.49835634451019
