,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Average Resident Unemployment Rate By Sex, Age And Highest Qualification Attained, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 25/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 
Total,2.7,2.9,3.5,4.1,3.1,2.9,3.1,3,2.8,2.7,2.8,2.8,2.9,3.1,4.3,3.2,3,3.6,4.1,4.4,5.2,4.8,3.7,3.7,3.8,3.5,2,2.2,2.2,2.2,2.1,2.2
Sex: Male,2.7,2.8,3.3,3.9,3,2.9,3.1,3,2.7,2.7,2.7,2.7,2.6,3,4.1,3,2.8,3.4,3.9,4.5,5.1,4.8,3.9,3.9,3.8,3.5,2,2.3,2.3,2.2,2.1,2
Sex: Female,2.7,3,3.8,4.4,3.4,3,3.1,3,2.9,2.9,2.9,3.1,3.2,3.4,4.7,3.5,3.1,3.7,4.5,4.4,5.3,4.8,3.4,3.5,3.8,3.4,1.9,2,2.1,2.1,2,2.5
Age Group (Years): Below 30,5.2,4.7,5.7,7.5,5.9,5.2,5.4,5,5.1,5.2,5.2,5.1,5,5.5,6.7,5.2,4.5,5.4,6.2,6.7,7.3,6.6,5.1,4.6,5.2,5.1,3.2,3.4,3.6,3.6,3.3,3.3
Age Group (Years): 25 - 29,4.3,4,4.7,5.5,4.6,4.1,4.3,3.8,3.6,4.1,3.9,3.5,3.4,3.9,5,3.7,3,3.8,4.4,5.1,5.8,5,4.3,3.6,4,3.8,2.3,2.7,2.5,2.4,2.3,2
Age Group (Years): 30 - 39,2.1,2.3,2.6,3,2.2,2.2,2.4,2.3,1.9,2.2,2.2,2.2,2.4,2.3,3.6,2.6,2.4,3,3.1,3.5,4.5,3.9,3.1,3.1,3.2,2.8,1.5,1.7,1.7,1.6,1.6,1.7
Age Group (Years): 40 - 49,2.3,2.5,3.2,3.4,2.5,2.3,2.5,2.4,2.4,2.1,2.2,2.1,2.1,2.6,3.8,2.7,2.4,3,3.6,3.8,4.9,4.6,3.4,3.7,3.4,3.2,1.6,1.6,1.6,1.5,1.4,1.7
Age Group (Years): 50 & Over,2.4,2.8,3.4,3.9,2.9,2.6,2.8,2.7,2.4,2.3,2.3,2.4,2.5,2.7,3.9,2.9,2.9,3.4,4.1,4.3,4.5,4.4,3.5,3.4,3.4,2.7,1.5,1.9,1.8,1.4,1.5,1.3
  Age Group (Years): 50 - 59,2.5,2.7,3.5,3.9,3.1,2.7,3,2.7,2.4,2.2,2.3,2.2,2.5,2.6,4,3.1,2.9,3.5,4.2,4.6,5,4.8,3.8,3.6,3.7,3.3,1.5,2.1,2,1.6,1.6,1.4
  Age Group (Years): 60 & Over,2.2,2.9,3.4,3.7,2.7,2.5,2.5,2.6,2.3,2.4,2.2,2.8,2.5,2.9,3.7,2.3,2.6,2.8,3.8,3,2.8,3.3,2.3,2.7,2.7,1,1.4,1.3,1.2,1,1.2,1.2
Age Group (Years): 25 & Over,2.5,2.7,3.3,3.7,2.8,2.6,2.8,2.7,2.4,2.4,2.4,2.4,2.5,2.7,3.9,2.8,2.6,3.2,3.7,4,4.8,4.4,3.4,3.4,3.4,3.1,1.7,1.9,1.8,1.7,1.7,1.7
Age Group (Years): 15 - 24,6.7,5.9,7.3,10.6,7.7,6.6,7,6.5,6.7,6.4,6.7,6.7,6.7,7.4,8.8,7,6.3,7.1,8.3,8.6,9.3,8.8,6.2,5.9,6.8,6.7,4.3,4.2,4.8,4.8,4.3,4.6
  Sex: Male,5.4,4,5,8.1,5.8,5,5.2,4.6,5.6,4.9,5.2,5.3,4.8,5.5,6.6,5.4,4.6,6.1,6.2,6,6.7,5.5,4.6,4.7,na,na,na,na,na,na,na,na
  Sex: Female,8.2,8.2,10,13.5,10,8.6,9.1,8.8,8.1,8.1,8.6,8.2,9,9.6,11.5,8.9,8.2,8.3,10.8,11.6,12.3,12.3,7.8,7.1,na,na,na,na,na,na,na,na
Highest Qualification Attained: Below Secondary,2.4,2.5,3.1,4.1,2.9,2.5,2.6,2.4,2.5,2.5,2.4,2.6,2.8,3.4,4.9,3.9,3.2,4.2,5.2,5.2,6.3,5.8,4.7,5.2,4.8,4.3,2.4,2.5,2.7,2.5,2.4,2.5
Highest Qualification Attained: Secondary,2.9,3.1,4.1,4.6,3.5,2.8,2.8,3.1,2.7,2.8,2.9,2.9,3.5,3.3,4.7,3.3,3.4,3.9,4.6,4.6,5.3,4.8,3.5,3.6,3.6,3.4,1.7,2,2,1.8,2,2
Highest Qualification Attained: Post-Secondary (Non-Tertiary),3.2,3.4,4.5,4.9,3.6,3.4,3.8,3.2,3,2.7,3.5,3.5,3.2,3.8,4.8,3.7,2.7,3.5,4.1,3.8,4.2,3.8,2.9,2.4,2.9,1.9,1.6,1.5,1.5,1.4,1.2,1.6
Highest Qualification Attained: Diploma & Professional Qualification,2.8,3,3.9,4.7,3.3,3.1,3.3,3.1,2.9,2.9,2.7,2.8,2.7,2.9,3.9,2.8,2.9,3.2,3.2,4.2,4.7,4.1,3.4,2.4,2.6,2.9,1.8,1.7,1.9,2,1.7,1.5
Highest Qualification Attained: Degree,2.6,2.8,3.2,3.5,2.9,2.9,3.2,3.1,2.8,2.9,2.8,2.7,2.6,2.8,3.6,2.7,2.4,2.8,3.1,3.6,4.4,4.1,2.9,2.6,3.1,2.8,1.7,2.6,2.1,2.6,2.3,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Residents refer to Singapore Citizens and Permanent Residents.  Annual figures are the simple averages of the non-seasonally adjusted unemployment figures obtained at quarterly intervals.  Data for June 1995, 2000 and 2005 were obtained from the General Household Survey (June 1995 and 2005) and Population Census (June 2000) conducted by the Singapore Department of Statistics.  The Labour Force Survey was not conducted in these periods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Qualification Attained:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Highest Qualification Attained (HQA) refers to the highest grade or standard a person has passed or the highest level where a vocational/skill certificate, diploma, or degree is awarded. This is achieved either through full-time or part-time study in a structured educational programme. The Singapore Standard Educational Classification (SSEC) is used to classify persons by HQA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
